no,id,indicador,clasificacion,eje_pnd,umedida,definicion,fuente,periodo,periodicidad,observaciones,cobertura,ods,proyectos,sentido,algoritmo,propio,proxima_actualizacion,fuentes
36,NA,Mortalidad por diabetes mellitus por cada 100 000 habitantes,NA,NA,Defunciones por cada cien mil habitantes.,"Es el número de defunciones por diabetes mellitus por cada cien mil habitantes, en el año de referencia.","SALUD.  Base de datos del Subsistema de Información sobre Nacimientos. SALUD.  Bases de datos de mortalidad.
http://www.beta.inegi.org.mx/proyectos/registros/vitales/mortalidad/default.html",1998-2023,Anual,NA,"Estatal, Nacional",3,"Aguascalientes, Durango, Tamaulipas",Menos es mejor,estatal_algoritmos/36.PNG,Sí,NA,"Instituto Nacional de Estadística y Geografía (INEGI). Conjunto de datos: Mortalidad general. https://www.inegi.org.mx/sistemas/olap/proyectos/bd/continuas/mortalidad/mortalidadgeneral.asp?s=est&c=11144&proy=mortgral_mg
Consejo Nacional de Población (CONAPO). Bases de datos de la Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070. None"
40,E.1.40,Tasa de fecundidad en mujeres de 15 a 19 años,1. Demográfico y social,NA,Número de nacidos vivos por cada mil mujeres entre 15 y 19 años,Número de nacimientos ocurridos en mujeres entre 15 y 19 años que tienen lugar en un determinado año por cada mil mujeres en ese grupo de edad a mitad de ese año.," Estimaciones del CONAPO con base en las Estimaciones de Población, 1990-2010 y, Proyecciones de Población, 2010-2050.
http://www.conapo.gob.mx/es/CONAPO/Proyecciones_Datos",1990-2025,Anual,Se considera la edad y entidad de residencia habitual de la madre al momento del nacimiento,"Estatal, Nacional, Municipal",3,"Aguascalientes, Durango, Tamaulipas",Menos es mejor,estatal_algoritmos/40.PNG,No,NA,Consejo Nacional de Población (CONAPO). Bases de datos de la Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070. https://www.gob.mx/conapo/documentos/bases-de-datos-de-la-conciliacion-demografica-1950-a-2019-y-proyecciones-de-la-poblacion-de-mexico-2020-a-2070?idiom=es
54,E.1.4.4.54,Esperanza de vida al nacer,1.4.4. Población,Eje 2. Bienestar,Años,"Número promedio de años que se espera viviría un recién nacido, si en el transcurso de su vida estuviera expuesto a las tasas de mortalidad específicas por edad y por sexo prevalentes al momento de su nacimiento, para un año específico, en un determinado país, territorio o área geográfica.","CONAPO. Proyecciones de la población 2010-2050
http://www3.inegi.org.mx/sistemas/temas/default.aspx?s=est&c=17484",1950-2025,Anual,NA,"Estatal, Nacional, Municipal",3,"Aguascalientes, Durango, Tamaulipas",Más es mejor,estatal_algoritmos/54.PNG,No,2026-02-01T00:00:00Z,"Consejo Nacional de Población (CONAPO). Bases de datos de la Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070. https://www.gob.mx/conapo/documentos/bases-de-datos-de-la-conciliacion-demografica-1950-a-2019-y-proyecciones-de-la-poblacion-de-mexico-2020-a-2070
Instituto Nacional de Estadística y Geografía (INEGI). Esperanza de vida al nacimiento por entidad federativa según sexo, serie anual, Tabulados de todos los años. https://www.inegi.org.mx/app/tabulados/interactivos/?pxq=Mortalidad_Mortalidad_09_b87a4bf1-9b47-442a-a5fc-ee5c65e37648"
98,E.2.2.1.98,Número de suscripciones a teléfonos celulares móviles por cada 100 habitantes,2.2.1. Servicio telefónico,Eje 2. Bienestar,Suscripciones a teléfonos celulares móviles por cada 100 habitantes,"Número de suscripciones al servicio de telefonía móvil por cada 100 habitantes en el país, al 31 de diciembre de cada año.","CONAPO.  Estimaciones de Población de México 1990-2010; Proyecciones de Población de México 2010-2050 IFT.  Base de datos de la Dirección de Información Estadística y de Mercado del Instituto Federal de Telecomunicaciones.
http://www3.inegi.org.mx/sistemas/cni/escenario.aspx?idOrden=1.1&ind=6300000084&gen=197&d=n",2000-2024,Anual,Se incluyen las suscripciones a teléfonos móviles de todas las bandas de frecuencias de celular y Servicio de Comunicación Personal (PCS). Se excluye el servicio de trunking.,"Estatal, Nacional",9,"Aguascalientes, Durango, Tamaulipas",Más es mejor,estatal_algoritmos/98.jpeg,No,2026-06-01T00:00:00Z,"Instituto Federal de Telecomunicaciones (IFT). Anuario estadístico del IFT, Anual. https://www.ift.org.mx/sites/default/files/contenidogeneral/estadisticas/anuarioestadistico2023.pdf
Instituto Nacional de Estadística y Geografía (INEGI). Catálogo Nacional de Indicadores. https://www.snieg.mx/cni/escenario.aspx?idOrden=1.1&ind=6300000084&gen=197&d=n"
156,E.2.156,Número de vehículos de motor registrados en circulación por cada mil habitantes,2. Económico,Eje 3. Desarrollo económico,Tasa,Número de unidades vehiculares registradas por entidad federativa por cada mil habitantes.,"INEGI. Estadísticas de vehículos de motor registrados en circulación.
http://www.inegi.org.mx/sistemas/bie/?idserpadre=10900530&d10900530",1980-2023,Anual,NA,"Estatal, Nacional, Municipal",11,"Aguascalientes, Durango, Tamaulipas",Más es mejor,estatal_algoritmos/156.PNG,Sí,2020-10-29T00:00:00Z,"Instituto Nacional de Estadística y Geografía (INEGI). Vehículos de motor registrados en circulación. https://www.inegi.org.mx/programas/vehiculosmotor/#tabulados
Consejo Nacional de Población (CONAPO). Bases de datos de la Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070. https://www.gob.mx/conapo/acciones-y-programas/conciliacion-demografica-de-1950-a-2019-y-proyecciones-de-la-poblacion-de-mexico-y-de-las-entidades-federativas-2020-a-2070"
173,E.4.2.173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,4.2. Seguridad pública y justicia,Eje 1. Justicia y estado de derecho,Casos por cada 100 mil habitantes,"Es el número de defunciones registradas como presuntos homicidios en los certificados de defunción durante el año, entre el total de la población a mitad del año de referencia, multiplicado por 100,000.","INEGI. Defunciones por Homicidio;CONAPO, Base de datos de Proyecciones de Población Nacional y Entidad Federativas.
http://www.inegi.org.mx/sistemas/olap/proyectos/bd/continuas/mortalidad/defuncioneshom.asp?s=est",1990-2023,Anual,"Cuando nosotros habíamos hecho el cálculo, estaba esta nota: Para el cálculo de la Tasa de defunciones por homicidio, hasta 1997 se consideró la causa básica de defunción de la CIE 9; a partir de 1998, a la CIE 10, también, las proyecciones de población del CONAPO 1990-2010 y 2010-2050.
Los datos actualizados el 17 de abril de 2025 en la plataforma son tomados del Catálogo Nacional de Indicadores.","Estatal, Nacional, Municipal",16,"Aguascalientes, Durango, Tamaulipas",Menos es mejor,estatal_algoritmos/173.PNG,No,2021-08-01T00:00:00Z,"Instituto Nacional de Estadística y Geografía (INEGI). Conjunto de datos: Defunciones por homicidio.. https://www.inegi.org.mx/sistemas/olap/proyectos/bd/continuas/mortalidad/defuncioneshom.asp?s=est
Consejo Nacional de Población (CONAPO). Bases de datos de Proyecciones de la Población de México y de las Entidades Federativas, 2016-2050. https://www.gob.mx/conapo/acciones-y-programas/conciliacion-demografica-de-mexico-1950-2015-y-proyecciones-de-la-poblacion-de-mexico-y-de-las-entidades-federativas-2016-2050
Sistema Nacional de Información Estadística y Geográfica (SNIEG). Catálogo Nacional de Indicadores. https://www.snieg.mx/cni/escenario.aspx?idOrden=1.2&ind=6207132223&gen=13299&d=s"
564,E.3.2.2.564,Generación diaria de residuos sólidos urbanos per cápita (kilogramos),3.2.2. Residuos peligrosos y sólidos,NA,Kilogramos diarios per cápita,Generación per cápita diaria estimada con base en los residuos sólidos urbanos recolectados por entidad,"SEMARNAT
https://www.gob.mx/semarnat",2010-2022,Bienal,NA,"Estatal, Municipal, Nacional",12,Aguascalientes,Menos es mejor,estatal_algoritmos/564.PNG,Sí,2022-02-28T00:00:00Z,"Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México, 2021. https://www.inegi.org.mx/programas/cngmd/2023/#tabulados"
569,E.1.1.569,Satisfacción con la vida,1.1. Calidad de vida y seguridad social,Eje 2. Bienestar,Puntos de calificación,"Promedio de satisfacción con la vida en general, en una escala de 0 a 10 donde 10 es mejor, de la población de 18 años y más en un lugar y año determinados.","INEGI. Bienestar Subjetivo en México. Módulo BIARE Ampliado. 2014.
http://www.beta.inegi.org.mx/proyectos/investigacion/bienestar/ampliado/",2014-2024,Anual,"A partir de 2015, la BIARE sólo reporta resultados a nivel nacional.  La nueva versión del cálculo es el promedio simple de la calificacion de satisfaccion de la vida de cada uno de los meses (típicamente cuatro) en los que se levanta la informacion. El cálculo se realizó con microdatos.","Estatal, Nacional",3,"Aguascalientes, Tamaulipas",Más es mejor,estatal_algoritmos/569.PNG,No,2026-04-29T00:00:00Z,"Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2019. https://www.inegi.org.mx/investigacion/bienestar/basico/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2018. https://www.inegi.org.mx/investigacion/bienestar/basico/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2017. https://www.inegi.org.mx/investigacion/bienestar/basico/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2016. https://www.inegi.org.mx/investigacion/bienestar/basico/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2015. https://www.inegi.org.mx/investigacion/bienestar/basico/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Bienestar Subjetivo., 2014. https://www.inegi.org.mx/investigacion/bienestar/ampliado/default.html#Tabulados
Instituto Nacional de Estadística y Geografía (INEGI). Encuesta Nacional de Bienestar Autorreportado, 2021. https://www.inegi.org.mx/programas/enbiare/2021/"
628,E.3.3.628,Incendios forestales (porcentaje de la superficie),3.3. Medio físico natural,No aplica,Porcentaje,Porcentaje de superficies afectadas por incendios forestales respecto al total estatal,"SEMARNAT
http://dgeiawf.semarnat.gob.mx:8080/approot/dgeia_mce/html/01_ambiental/forestales.html",1991-2020,Irregular,Entre 1991 y 2014 se usa la información de SEMARNAT CONAFOR,"Estatal, Nacional, Municipal",15,Aguascalientes,Menos es mejor,estatal_algoritmos/628.PNG,Sí,2022-06-01T00:00:00Z,"Comisión Nacional Forestal (CONAFOR). Series históricas anuales de incendios, 2021. http://dgeiawf.semarnat.gob.mx:8080/approot/dgeia_mce/html/01_ambiental/forestales.html"
921,E.1.1.921,Porcentaje de población en situación de pobreza,1.1. Calidad de vida y seguridad social,NA,Porcentaje,Porcentaje de población cuyo ingreso es inferior al valor de la línea de bienestar y que padece al menos una carencia social.,NA,2008-2022,Bienal,NA,"Estatal, Nacional",1,NA,Menos es mejor,NA,No,NA,"Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Anexo estadístico de la medición de pobreza. Nacional y entidades Federativas, 2022. https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx
Sistema Nacional de Información Estadística y Geográfica (SNIEG). Catálogo Nacional de Indicadores. https://www.snieg.mx/cni/escenario.aspx?idOrden=1.1&ind=6300000106&gen=216&d=n"
950,E.3.3.1.950,Lluvia Promedio por Entidad,3.3.1. Agua,Eje 3. Desarrollo económico,Milímetros,"Es la cantidad de lluvia promedio, medida en mm, que precipitó en cada una de las entidades federativas.",NA,2002-2024,Anual,Potencialmente se puede ir más atrás en el cálculo de los indicadores.,"Estatal, Nacional",6,NA,Más es mejor,NA,No,2026-02-01T00:00:00Z,Comisión Nacional del Agua (CONAGUA). Resúmenes Mensuales de Temperaturas y Lluvia. https://smn.conagua.gob.mx/es/climatologia/temperaturas-y-lluvias/resumenes-mensuales-de-temperaturas-y-lluvias
1266,E.2.3.1.1266,PIB per cápita (total),2.3.1. Cuentas nacionales,NA,Pesos a precios de 2018 por habitante,Es el ingreso promedio por habitante derivado de la actividad productiva que se obtiene de dividir el PIB total a precios constantes 2018 entre la población a mitad del año.,NA,NA,NA,2023 cifras preliminares,"Estatal, Nacional",NA,NA,Más es mejor,NA,Sí,NA,"Instituto Nacional de Estadística y Geografía (INEGI). Producto Interno Bruto por Entidad Federativa. Año base 2018. https://www.inegi.org.mx/programas/pibent/2018/#tabulados
Consejo Nacional de Población (CONAPO). Bases de datos de la Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070. None"
